Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
2L,2L5X3X5/16LLBB,2L5X3X5/16LLBB,,16.4,4.82,5,,,,,,,,3,,,,,,,0.31,,,,,,,1.67,,,1.14,,16,,,,,12.5,6.64,3.74,1.61,5.62,3.24,1.87,1.08,,,,,,,,,,,,,2.46,0.62,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L5X3X5/16X3/8LLBB,2L5X3X5/16X3/8LLBB,,16.4,4.82,5,,,,,,,,3,,,,,,,0.31,,,,,,,1.67,,,1.14,,16,,,,,12.5,6.64,3.74,1.61,7.06,4.15,2.21,1.21,,,,,,,,,,,,,2.52,0.64,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L5X3X5/16X3/4LLBB,2L5X3X5/16X3/4LLBB,,16.4,4.82,5,,,,,,,,3,,,,,,,0.31,,,,,,,1.67,,,1.14,,16,,,,,12.5,6.64,3.74,1.61,8.78,5.05,2.6,1.35,,,,,,,,,,,,,2.59,0.66,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L5X3X1/4LLBB,2L5X3X1/4LLBB,,13.2,3.88,5,,,,,,,,3,,,,,,,0.25,,,,,,,1.64,,,1.12,,20,,,,,10.2,5.36,3.02,1.62,4.44,2.51,1.48,1.07,,,,,,,,,,,,,2.46,0.62,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L5X3X1/4X3/8LLBB,2L5X3X1/4X3/8LLBB,,13.2,3.88,5,,,,,,,,3,,,,,,,0.25,,,,,,,1.64,,,1.12,,20,,,,,10.2,5.36,3.02,1.62,5.49,3.24,1.72,1.19,,,,,,,,,,,,,2.52,0.64,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L5X3X1/4X3/4LLBB,2L5X3X1/4X3/4LLBB,,13.2,3.88,5,,,,,,,,3,,,,,,,0.25,,,,,,,1.64,,,1.12,,20,,,,,10.2,5.36,3.02,1.62,6.86,3.97,2.03,1.33,,,,,,,,,,,,,2.59,0.66,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/2LLBB,2L4X3-1/2X1/2LLBB,,23.8,7,4,,,,,,,,3.5,,,,,,,0.5,,,,,,,1.24,,,0.5,,8,,,,,10.6,6.92,3.84,1.23,14.5,6.96,4.14,1.44,,,,,,,,,,,,,2.14,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/2X3/8LLBB,2L4X3-1/2X1/2X3/8LLBB,,23.8,7,4,,,,,,,,3.5,,,,,,,0.5,,,,,,,1.24,,,0.5,,8,,,,,10.6,6.92,3.84,1.23,17.3,8.27,4.69,1.57,,,,,,,,,,,,,2.23,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/2X3/4LLBB,2L4X3-1/2X1/2X3/4LLBB,,23.8,7,4,,,,,,,,3.5,,,,,,,0.5,,,,,,,1.24,,,0.5,,8,,,,,10.6,6.92,3.84,1.23,20.7,9.58,5.34,1.72,,,,,,,,,,,,,2.33,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X3/8LLBB,2L4X3-1/2X3/8LLBB,,18.2,5.36,4,,,,,,,,3.5,,,,,,,0.38,,,,,,,1.2,,,0.43,,10.7,,,,,8.3,5.32,2.96,1.25,10.8,5.08,3.09,1.42,,,,,,,,,,,,,2.14,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X3/8X3/8LLBB,2L4X3-1/2X3/8X3/8LLBB,,18.2,5.36,4,,,,,,,,3.5,,,,,,,0.38,,,,,,,1.2,,,0.43,,10.7,,,,,8.3,5.32,2.96,1.25,12.9,6.08,3.5,1.55,,,,,,,,,,,,,2.23,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X3/8X3/4LLBB,2L4X3-1/2X3/8X3/4LLBB,,18.2,5.36,4,,,,,,,,3.5,,,,,,,0.38,,,,,,,1.2,,,0.43,,10.7,,,,,8.3,5.32,2.96,1.25,15.3,7.09,3.95,1.69,,,,,,,,,,,,,2.33,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X5/16LLBB,2L4X3-1/2X5/16LLBB,,15.4,4.5,4,,,,,,,,3.5,,,,,,,0.31,,,,,,,1.17,,,0.4,,12.8,,,,,7.06,4.48,2.5,1.25,8.82,4.15,2.52,1.4,,,,,,,,,,,,,2.14,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X5/16X3/8LLBB,2L4X3-1/2X5/16X3/8LLBB,,15.4,4.5,4,,,,,,,,3.5,,,,,,,0.31,,,,,,,1.17,,,0.4,,12.8,,,,,7.06,4.48,2.5,1.25,10.5,5,2.85,1.53,,,,,,,,,,,,,2.23,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X5/16X3/4LLBB,2L4X3-1/2X5/16X3/4LLBB,,15.4,4.5,4,,,,,,,,3.5,,,,,,,0.31,,,,,,,1.17,,,0.4,,12.8,,,,,7.06,4.48,2.5,1.25,12.7,5.84,3.28,1.68,,,,,,,,,,,,,2.33,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/4LLBB,2L4X3-1/2X1/4LLBB,,12.4,3.64,4,,,,,,,,3.5,,,,,,,0.25,,,,,,,1.14,,,0.36,,16,,,,,5.78,3.62,2.02,1.26,7.03,3.27,2.01,1.39,,,,,,,,,,,,,2.14,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/4X3/8LLBB,2L4X3-1/2X1/4X3/8LLBB,,12.4,3.64,4,,,,,,,,3.5,,,,,,,0.25,,,,,,,1.14,,,0.36,,16,,,,,5.78,3.62,2.02,1.26,8.41,3.95,2.28,1.52,,,,,,,,,,,,,2.22,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3-1/2X1/4X3/4LLBB,2L4X3-1/2X1/4X3/4LLBB,,12.4,3.64,4,,,,,,,,3.5,,,,,,,0.25,,,,,,,1.14,,,0.36,,16,,,,,5.78,3.62,2.02,1.26,10,4.63,2.58,1.66,,,,,,,,,,,,,2.32,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/8LLBB,2L4X3X5/8LLBB,,27.2,7.98,4,,,,,,,,3,,,,,,,0.63,,,,,,,1.37,,,0.81,,6.4,,,,,12,8.16,4.56,1.23,11.7,6.92,3.9,1.21,,,,,,,,,,,,,2.02,0.73,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/8X3/8LLBB,2L4X3X5/8X3/8LLBB,,27.2,7.98,4,,,,,,,,3,,,,,,,0.63,,,,,,,1.37,,,0.81,,6.4,,,,,12,8.16,4.56,1.23,14.5,8.41,4.55,1.35,,,,,,,,,,,,,2.11,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/8X3/4LLBB,2L4X3X5/8X3/4LLBB,,27.2,7.98,4,,,,,,,,3,,,,,,,0.63,,,,,,,1.37,,,0.81,,6.4,,,,,12,8.16,4.56,1.23,18,9.91,5.33,1.5,,,,,,,,,,,,,2.21,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/2LLBB,2L4X3X1/2LLBB,,22.2,6.5,4,,,,,,,,3,,,,,,,0.5,,,,,,,1.32,,,0.75,,8,,,,,10,6.72,3.74,1.24,9.2,5.34,3.07,1.19,,,,,,,,,,,,,2.02,0.72,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/2X3/8LLBB,2L4X3X1/2X3/8LLBB,,22.2,6.5,4,,,,,,,,3,,,,,,,0.5,,,,,,,1.32,,,0.75,,8,,,,,10,6.72,3.74,1.24,11.3,6.56,3.55,1.32,,,,,,,,,,,,,2.11,0.74,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/2X3/4LLBB,2L4X3X1/2X3/4LLBB,,22.2,6.5,4,,,,,,,,3,,,,,,,0.5,,,,,,,1.32,,,0.75,,8,,,,,10,6.72,3.74,1.24,14,7.78,4.15,1.47,,,,,,,,,,,,,2.2,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X3/8LLBB,2L4X3X3/8LLBB,,17,4.98,4,,,,,,,,3,,,,,,,0.38,,,,,,,1.27,,,0.68,,10.7,,,,,7.88,5.2,2.88,1.26,6.82,3.86,2.27,1.17,,,,,,,,,,,,,2.03,0.72,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X3/8X3/8LLBB,2L4X3X3/8X3/8LLBB,,17,4.98,4,,,,,,,,3,,,,,,,0.38,,,,,,,1.27,,,0.68,,10.7,,,,,7.88,5.2,2.88,1.26,8.42,4.79,2.64,1.3,,,,,,,,,,,,,2.11,0.74,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X3/8X3/4LLBB,2L4X3X3/8X3/4LLBB,,17,4.98,4,,,,,,,,3,,,,,,,0.38,,,,,,,1.27,,,0.68,,10.7,,,,,7.88,5.2,2.88,1.26,10.3,5.73,3.05,1.44,,,,,,,,,,,,,2.2,0.76,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/16LLBB,2L4X3X5/16LLBB,,14.4,4.18,4,,,,,,,,3,,,,,,,0.31,,,,,,,1.25,,,0.66,,12.8,,,,,6.72,4.38,2.44,1.27,5.62,3.14,1.87,1.16,,,,,,,,,,,,,2.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/16X3/8LLBB,2L4X3X5/16X3/8LLBB,,14.4,4.18,4,,,,,,,,3,,,,,,,0.31,,,,,,,1.25,,,0.66,,12.8,,,,,6.72,4.38,2.44,1.27,6.96,3.92,2.18,1.29,,,,,,,,,,,,,2.11,0.73,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X5/16X3/4LLBB,2L4X3X5/16X3/4LLBB,,14.4,4.18,4,,,,,,,,3,,,,,,,0.31,,,,,,,1.25,,,0.66,,12.8,,,,,6.72,4.38,2.44,1.27,8.55,4.7,2.53,1.43,,,,,,,,,,,,,2.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/4LLBB,2L4X3X1/4LLBB,,11.6,3.38,4,,,,,,,,3,,,,,,,0.25,,,,,,,1.22,,,0.62,,16,,,,,5.5,3.54,1.98,1.27,4.47,2.45,1.49,1.15,,,,,,,,,,,,,2.03,0.71,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/4X3/8LLBB,2L4X3X1/4X3/8LLBB,,11.6,3.38,4,,,,,,,,3,,,,,,,0.25,,,,,,,1.22,,,0.62,,16,,,,,5.5,3.54,1.98,1.27,5.45,3.08,1.71,1.27,,,,,,,,,,,,,2.11,0.73,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L4X3X1/4X3/4LLBB,2L4X3X1/4X3/4LLBB,,11.6,3.38,4,,,,,,,,3,,,,,,,0.25,,,,,,,1.22,,,0.62,,16,,,,,5.5,3.54,1.98,1.27,6.72,3.72,1.99,1.41,,,,,,,,,,,,,2.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/2LLBB,2L3-1/2X3X1/2LLBB,,20.4,6.04,3.5,,,,,,,,3,,,,,,,0.5,,,,,,,1.12,,,0.48,,7,,,,,6.9,5.22,2.9,1.07,9.14,5.25,3.05,1.23,,,,,,,,,,,,,1.85,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/2X3/8LLBB,2L3-1/2X3X1/2X3/8LLBB,,20.4,6.04,3.5,,,,,,,,3,,,,,,,0.5,,,,,,,1.12,,,0.48,,7,,,,,6.9,5.22,2.9,1.07,11.3,6.38,3.55,1.37,,,,,,,,,,,,,1.94,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/2X3/4LLBB,2L3-1/2X3X1/2X3/4LLBB,,20.4,6.04,3.5,,,,,,,,3,,,,,,,0.5,,,,,,,1.12,,,0.48,,7,,,,,6.9,5.22,2.9,1.07,14,7.51,4.15,1.52,,,,,,,,,,,,,2.05,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X7/16LLBB,2L3-1/2X3X7/16LLBB,,18.2,5.34,3.5,,,,,,,,3,,,,,,,0.44,,,,,,,1.09,,,0.45,,7.99,,,,,6.2,4.64,2.58,1.08,7.95,4.52,2.65,1.22,,,,,,,,,,,,,1.85,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X7/16X3/8LLBB,2L3-1/2X3X7/16X3/8LLBB,,18.2,5.34,3.5,,,,,,,,3,,,,,,,0.44,,,,,,,1.09,,,0.45,,7.99,,,,,6.2,4.64,2.58,1.08,9.88,5.52,3.1,1.36,,,,,,,,,,,,,1.94,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X7/16X3/4LLBB,2L3-1/2X3X7/16X3/4LLBB,,18.2,5.34,3.5,,,,,,,,3,,,,,,,0.44,,,,,,,1.09,,,0.45,,7.99,,,,,6.2,4.64,2.58,1.08,12.2,6.52,3.61,1.51,,,,,,,,,,,,,2.05,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X3/8LLBB,2L3-1/2X3X3/8LLBB,,15.8,4.64,3.5,,,,,,,,3,,,,,,,0.38,,,,,,,1.07,,,0.41,,9.33,,,,,5.46,4.06,2.24,1.09,6.79,3.82,2.26,1.21,,,,,,,,,,,,,1.85,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X3/8X3/8LLBB,2L3-1/2X3X3/8X3/8LLBB,,15.8,4.64,3.5,,,,,,,,3,,,,,,,0.38,,,,,,,1.07,,,0.41,,9.33,,,,,5.46,4.06,2.24,1.09,8.46,4.69,2.65,1.35,,,,,,,,,,,,,1.94,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X3/8X3/4LLBB,2L3-1/2X3X3/8X3/4LLBB,,15.8,4.64,3.5,,,,,,,,3,,,,,,,0.38,,,,,,,1.07,,,0.41,,9.33,,,,,5.46,4.06,2.24,1.09,10.3,5.56,3.05,1.49,,,,,,,,,,,,,2.05,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X5/16LLBB,2L3-1/2X3X5/16LLBB,,13.2,3.9,3.5,,,,,,,,3,,,,,,,0.31,,,,,,,1.05,,,0.38,,11.2,,,,,4.66,3.44,1.9,1.09,5.62,3.11,1.87,1.2,,,,,,,,,,,,,1.85,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X5/16X3/8LLBB,2L3-1/2X3X5/16X3/8LLBB,,13.2,3.9,3.5,,,,,,,,3,,,,,,,0.31,,,,,,,1.05,,,0.38,,11.2,,,,,4.66,3.44,1.9,1.09,6.9,3.84,2.16,1.33,,,,,,,,,,,,,1.94,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X5/16X3/4LLBB,2L3-1/2X3X5/16X3/4LLBB,,13.2,3.9,3.5,,,,,,,,3,,,,,,,0.31,,,,,,,1.05,,,0.38,,11.2,,,,,4.66,3.44,1.9,1.09,8.54,4.57,2.53,1.48,,,,,,,,,,,,,2.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/4LLBB,2L3-1/2X3X1/4LLBB,,10.8,3.16,3.5,,,,,,,,3,,,,,,,0.25,,,,,,,1.02,,,0.34,,14,,,,,3.84,2.78,1.55,1.1,4.47,2.44,1.49,1.19,,,,,,,,,,,,,1.85,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/4X3/8LLBB,2L3-1/2X3X1/4X3/8LLBB,,10.8,3.16,3.5,,,,,,,,3,,,,,,,0.25,,,,,,,1.02,,,0.34,,14,,,,,3.84,2.78,1.55,1.1,5.51,3.04,1.73,1.32,,,,,,,,,,,,,1.94,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X3X1/4X3/4LLBB,2L3-1/2X3X1/4X3/4LLBB,,10.8,3.16,3.5,,,,,,,,3,,,,,,,0.25,,,,,,,1.02,,,0.34,,14,,,,,3.84,2.78,1.55,1.1,6.74,3.63,2,1.46,,,,,,,,,,,,,2.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/2LLBB,2L3-1/2X2-1/2X1/2LLBB,,18.8,5.54,3.5,,,,,,,,2.5,,,,,,,0.5,,,,,,,1.2,,,0.73,,7,,,,,6.48,5.04,2.82,1.08,5.45,3.88,2.18,0.99,,,,,,,,,,,,,1.75,0.71,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/2X3/8LLBB,2L3-1/2X2-1/2X1/2X3/8LLBB,,18.8,5.54,3.5,,,,,,,,2.5,,,,,,,0.5,,,,,,,1.2,,,0.73,,7,,,,,6.48,5.04,2.82,1.08,7.07,4.92,2.63,1.13,,,,,,,,,,,,,1.83,0.73,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/2X3/4LLBB,2L3-1/2X2-1/2X1/2X3/4LLBB,,18.8,5.54,3.5,,,,,,,,2.5,,,,,,,0.5,,,,,,,1.2,,,0.73,,7,,,,,6.48,5.04,2.82,1.08,9.08,5.96,3.16,1.28,,,,,,,,,,,,,1.93,0.76,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X3/8LLBB,2L3-1/2X2-1/2X3/8LLBB,,14.4,4.24,3.5,,,,,,,,2.5,,,,,,,0.38,,,,,,,1.15,,,0.67,,9.33,,,,,5.12,3.92,2.18,1.1,3.99,2.78,1.6,0.97,,,,,,,,,,,,,1.75,0.7,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X3/8X3/8LLBB,2L3-1/2X2-1/2X3/8X3/8LLBB,,14.4,4.24,3.5,,,,,,,,2.5,,,,,,,0.38,,,,,,,1.15,,,0.67,,9.33,,,,,5.12,3.92,2.18,1.1,5.22,3.57,1.94,1.11,,,,,,,,,,,,,1.83,0.72,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,2L3-1/2X2-1/2X3/8X3/4LLBB,,14.4,4.24,3.5,,,,,,,,2.5,,,,,,,0.38,,,,,,,1.15,,,0.67,,9.33,,,,,5.12,3.92,2.18,1.1,6.63,4.37,2.31,1.25,,,,,,,,,,,,,1.93,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X5/16LLBB,2L3-1/2X2-1/2X5/16LLBB,,12.2,3.58,3.5,,,,,,,,2.5,,,,,,,0.31,,,,,,,1.13,,,0.64,,11.2,,,,,4.4,3.34,1.85,1.11,3.3,2.26,1.32,0.96,,,,,,,,,,,,,1.76,0.7,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,2L3-1/2X2-1/2X5/16X3/8LLBB,,12.2,3.58,3.5,,,,,,,,2.5,,,,,,,0.31,,,,,,,1.13,,,0.64,,11.2,,,,,4.4,3.34,1.85,1.11,4.25,2.93,1.58,1.09,,,,,,,,,,,,,1.83,0.72,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,2L3-1/2X2-1/2X5/16X3/4LLBB,,12.2,3.58,3.5,,,,,,,,2.5,,,,,,,0.31,,,,,,,1.13,,,0.64,,11.2,,,,,4.4,3.34,1.85,1.11,5.5,3.61,1.91,1.24,,,,,,,,,,,,,1.92,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/4LLBB,2L3-1/2X2-1/2X1/4LLBB,,9.8,2.9,3.5,,,,,,,,2.5,,,,,,,0.25,,,,,,,1.1,,,0.6,,14,,,,,3.62,2.72,1.51,1.12,2.62,1.76,1.05,0.95,,,,,,,,,,,,,1.76,0.69,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,2L3-1/2X2-1/2X1/4X3/8LLBB,,9.8,2.9,3.5,,,,,,,,2.5,,,,,,,0.25,,,,,,,1.1,,,0.6,,14,,,,,3.62,2.72,1.51,1.12,3.38,2.3,1.26,1.08,,,,,,,,,,,,,1.83,0.72,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,2L3-1/2X2-1/2X1/4X3/4LLBB,,9.8,2.9,3.5,,,,,,,,2.5,,,,,,,0.25,,,,,,,1.1,,,0.6,,14,,,,,3.62,2.72,1.51,1.12,4.32,2.85,1.5,1.22,,,,,,,,,,,,,1.92,0.74,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/2LLBB,2L3X2-1/2X1/2LLBB,,17,5,3,,,,,,,,2.5,,,,,,,0.5,,,,,,,1,,,0.5,,6,,,,,4.14,3.72,2.06,0.91,5.41,3.73,2.16,1.04,,,,,,,,,,,,,1.57,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/2X3/8LLBB,2L3X2-1/2X1/2X3/8LLBB,,17,5,3,,,,,,,,2.5,,,,,,,0.5,,,,,,,1,,,0.5,,6,,,,,4.14,3.72,2.06,0.91,6.96,4.67,2.59,1.18,,,,,,,,,,,,,1.66,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/2X3/4LLBB,2L3X2-1/2X1/2X3/4LLBB,,17,5,3,,,,,,,,2.5,,,,,,,0.5,,,,,,,1,,,0.5,,6,,,,,4.14,3.72,2.06,0.91,8.84,5.6,3.07,1.33,,,,,,,,,,,,,1.78,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X7/16LLBB,2L3X2-1/2X7/16LLBB,,15.2,4.44,3,,,,,,,,2.5,,,,,,,0.44,,,,,,,0.97,,,0.46,,6.85,,,,,3.74,3.32,1.84,0.92,4.62,3.21,1.85,1.02,,,,,,,,,,,,,1.57,0.77,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X7/16X3/8LLBB,2L3X2-1/2X7/16X3/8LLBB,,15.2,4.44,3,,,,,,,,2.5,,,,,,,0.44,,,,,,,0.97,,,0.46,,6.85,,,,,3.74,3.32,1.84,0.92,5.97,4.05,2.22,1.16,,,,,,,,,,,,,1.66,0.8,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X7/16X3/4LLBB,2L3X2-1/2X7/16X3/4LLBB,,15.2,4.44,3,,,,,,,,2.5,,,,,,,0.44,,,,,,,0.97,,,0.46,,6.85,,,,,3.74,3.32,1.84,0.92,7.74,4.88,2.69,1.32,,,,,,,,,,,,,1.77,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/8LLBB,2L3X2-1/2X3/8LLBB,,13.2,3.86,3,,,,,,,,2.5,,,,,,,0.38,,,,,,,0.95,,,0.43,,8,,,,,3.3,2.9,1.61,0.92,3.94,2.71,1.58,1.01,,,,,,,,,,,,,1.57,0.76,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/8X3/8LLBB,2L3X2-1/2X3/8X3/8LLBB,,13.2,3.86,3,,,,,,,,2.5,,,,,,,0.38,,,,,,,0.95,,,0.43,,8,,,,,3.3,2.9,1.61,0.92,5.1,3.43,1.9,1.15,,,,,,,,,,,,,1.66,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/8X3/4LLBB,2L3X2-1/2X3/8X3/4LLBB,,13.2,3.86,3,,,,,,,,2.5,,,,,,,0.38,,,,,,,0.95,,,0.43,,8,,,,,3.3,2.9,1.61,0.92,6.52,4.15,2.27,1.3,,,,,,,,,,,,,1.77,0.82,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X5/16LLBB,2L3X2-1/2X5/16LLBB,,11.2,3.26,3,,,,,,,,2.5,,,,,,,0.31,,,,,,,0.93,,,0.39,,9.58,,,,,2.82,2.46,1.36,0.93,3.26,2.21,1.3,1,,,,,,,,,,,,,1.57,0.76,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X5/16X3/8LLBB,2L3X2-1/2X5/16X3/8LLBB,,11.2,3.26,3,,,,,,,,2.5,,,,,,,0.31,,,,,,,0.93,,,0.39,,9.58,,,,,2.82,2.46,1.36,0.93,4.24,2.82,1.58,1.14,,,,,,,,,,,,,1.66,0.79,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X5/16X3/4LLBB,2L3X2-1/2X5/16X3/4LLBB,,11.2,3.26,3,,,,,,,,2.5,,,,,,,0.31,,,,,,,0.93,,,0.39,,9.58,,,,,2.82,2.46,1.36,0.93,5.42,3.43,1.89,1.29,,,,,,,,,,,,,1.76,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/4LLBB,2L3X2-1/2X1/4LLBB,,9,2.64,3,,,,,,,,2.5,,,,,,,0.25,,,,,,,0.9,,,0.36,,12,,,,,2.32,2,1.11,0.94,2.59,1.72,1.04,0.99,,,,,,,,,,,,,1.57,0.76,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/4X3/8LLBB,2L3X2-1/2X1/4X3/8LLBB,,9,2.64,3,,,,,,,,2.5,,,,,,,0.25,,,,,,,0.9,,,0.36,,12,,,,,2.32,2,1.11,0.94,3.31,2.22,1.23,1.12,,,,,,,,,,,,,1.66,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X1/4X3/4LLBB,2L3X2-1/2X1/4X3/4LLBB,,9,2.64,3,,,,,,,,2.5,,,,,,,0.25,,,,,,,0.9,,,0.36,,12,,,,,2.32,2,1.11,0.94,4.26,2.71,1.48,1.27,,,,,,,,,,,,,1.76,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/16LLBB,2L3X2-1/2X3/16LLBB,,6.78,2,3,,,,,,,,2.5,,,,,,,0.19,,,,,,,0.87,,,0.33,,16,,,,,1.8,1.52,0.85,0.95,1.92,1.25,0.77,0.98,,,,,,,,,,,,,1.57,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/16X3/8LLBB,2L3X2-1/2X3/16X3/8LLBB,,6.78,2,3,,,,,,,,2.5,,,,,,,0.19,,,,,,,0.87,,,0.33,,16,,,,,1.8,1.52,0.85,0.95,2.46,1.63,0.92,1.11,,,,,,,,,,,,,1.65,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L3X2-1/2X3/16X3/4LLBB,2L3X2-1/2X3/16X3/4LLBB,,6.78,2,3,,,,,,,,2.5,,,,,,,0.19,,,,,,,0.87,,,0.33,,16,,,,,1.8,1.52,0.85,0.95,3.13,2,1.09,1.25,,,,,,,,,,,,,1.75,0.8,,,,,,,,,,,,,,,,,,,,,,,,
